,pop,month,day,hours,city,city_id
470,1.0,6,22,15,Eguisheim,136516441
444,0.85,6,19,9,Eguisheim,136516441
452,0.0,6,20,9,Eguisheim,136516441
460,1.0,6,21,9,Eguisheim,136516441
468,1.0,6,22,9,Eguisheim,136516441
476,1.0,6,23,9,Eguisheim,136516441
478,1.0,6,23,15,Eguisheim,136516441
453,0.0,6,20,12,Eguisheim,136516441
461,1.0,6,21,12,Eguisheim,136516441
469,1.0,6,22,12,Eguisheim,136516441
477,1.0,6,23,12,Eguisheim,136516441
455,0.33,6,20,18,Eguisheim,136516441
445,1.0,6,19,12,Eguisheim,136516441
454,0.29,6,20,15,Eguisheim,136516441
446,1.0,6,19,15,Eguisheim,136516441
462,0.33,6,21,15,Eguisheim,136516441
116,0.0,6,23,9,Bayeux,276101915
94,0.2,6,20,15,Bayeux,276101915
86,0.92,6,19,15,Bayeux,276101915
119,0.0,6,23,18,Bayeux,276101915
111,0.0,6,22,18,Bayeux,276101915
103,0.0,6,21,18,Bayeux,276101915
95,0.97,6,20,18,Bayeux,276101915
87,0.72,6,19,18,Bayeux,276101915
109,1.0,6,22,12,Bayeux,276101915
101,1.0,6,21,12,Bayeux,276101915
93,0.0,6,20,12,Bayeux,276101915
84,0.0,6,19,9,Bayeux,276101915
102,0.0,6,21,15,Bayeux,276101915
92,0.0,6,20,9,Bayeux,276101915
100,1.0,6,21,9,Bayeux,276101915
108,0.49,6,22,9,Bayeux,276101915
110,0.2,6,22,15,Bayeux,276101915
118,0.0,6,23,15,Bayeux,276101915
85,0.0,6,19,12,Bayeux,276101915
117,0.0,6,23,12,Bayeux,276101915
37,0.0,6,23,12,Mont Saint-Michel,276970680
29,1.0,6,22,12,Mont Saint-Michel,276970680
21,0.5,6,21,12,Mont Saint-Michel,276970680
13,0.2,6,20,12,Mont Saint-Michel,276970680
5,0.99,6,19,12,Mont Saint-Michel,276970680
4,0.0,6,19,9,Mont Saint-Michel,276970680
7,1.0,6,19,18,Mont Saint-Michel,276970680
38,0.0,6,23,15,Mont Saint-Michel,276970680
36,0.0,6,23,9,Mont Saint-Michel,276970680
30,0.0,6,22,15,Mont Saint-Michel,276970680
28,1.0,6,22,9,Mont Saint-Michel,276970680
39,0.0,6,23,18,Mont Saint-Michel,276970680
31,0.0,6,22,18,Mont Saint-Michel,276970680
23,0.2,6,21,18,Mont Saint-Michel,276970680
15,1.0,6,20,18,Mont Saint-Michel,276970680
22,0.0,6,21,15,Mont Saint-Michel,276970680
20,0.7,6,21,9,Mont Saint-Michel,276970680
12,0.0,6,20,9,Mont Saint-Michel,276970680
6,1.0,6,19,15,Mont Saint-Michel,276970680
14,1.0,6,20,15,Mont Saint-Michel,276970680
52,0.0,6,20,9,Saint-Malo,277106181
76,0.0,6,23,9,Saint-Malo,277106181
44,0.0,6,19,9,Saint-Malo,277106181
60,0.0,6,21,9,Saint-Malo,277106181
68,0.92,6,22,9,Saint-Malo,277106181
46,1.0,6,19,15,Saint-Malo,277106181
79,0.0,6,23,18,Saint-Malo,277106181
62,0.0,6,21,15,Saint-Malo,277106181
70,0.0,6,22,15,Saint-Malo,277106181
47,1.0,6,19,18,Saint-Malo,277106181
55,1.0,6,20,18,Saint-Malo,277106181
63,0.0,6,21,18,Saint-Malo,277106181
71,0.0,6,22,18,Saint-Malo,277106181
77,0.0,6,23,12,Saint-Malo,277106181
54,1.0,6,20,15,Saint-Malo,277106181
69,0.38,6,22,12,Saint-Malo,277106181
61,0.0,6,21,12,Saint-Malo,277106181
53,0.0,6,20,12,Saint-Malo,277106181
45,0.26,6,19,12,Saint-Malo,277106181
78,0.0,6,23,15,Saint-Malo,277106181
1375,0.96,6,20,18,La Rochelle,280762466
1367,0.0,6,19,18,La Rochelle,280762466
